Water Body / Hydrographic Basin	Primary Geographic Region	Dominant Vector Breed	Associated High-Burden Pathogen(s)	Ecological Driver of Vector Proliferation
Amazon River Basin & Tributaries	South America (Brazil, Peru, Colombia)	Anopheles darlingi, Haemagogus janthinomys	Malaria (P. vivax), Yellow Fever, Zika Virus	Vast floodplain forests (várzea), slow-moving river margins, and high canopy sylvatic zones.
Nile River Basin & Delta	East & North Africa (Egypt, Sudan, Uganda)	Anopheles arabiensis, Culex pipiens	Malaria, West Nile Virus, Rift Valley Fever	Agricultural irrigation canals, marshy riverbanks, and seasonal flooding zones in arid landscapes.
Congo River Basin	Central Africa (DRC, Congo, Central African Republic)	Anopheles gambiae, Aedes aegypti	Malaria (P. falciparum), Chikungunya, Yellow Fever	Continuous high humidity, massive interior wetlands, and permanent stagnant swamp forests.
Ganges-Brahmaputra River Delta	South Asia (India, Bangladesh)	Anopheles stephensi, Aedes albopictus	Malaria, Dengue Virus, Lymphatic Filariasis	High-density human settlements interlocked with tidal mudflats, slow drainage networks, and monsoon flooding.
Mekong River Basin & Delta	Southeast Asia (Vietnam, Cambodia, Laos, Thailand)	Anopheles dirus, Aedes aegypti	Malaria (drug-resistant strains), Dengue Virus	Extensive rice paddy irrigation, tropical mangrove swamps, and seasonal rain-fed pools.
Lake Victoria Basin	East Africa (Kenya, Uganda, Tanzania)	Anopheles funestus, Anopheles gambiae	Malaria (P. falciparum), Lymphatic Filariasis	Warm shallow bays, papyrus marshes, and expanding shoreline vegetation providing optimal larval breeding.
Lake Chad Basin	Central/West Africa (Chad, Niger, Nigeria, Cameroon)	Anopheles arabiensis, Anopheles pharoensis	Malaria, West Nile Virus, Rift Valley Fever	Fluctuating lake levels creating vast seasonal marshes, pooling water, and animal hoof-print breeding sites.
Pantanal Wetlands	South America (Brazil, Paraguay, Bolivia)	Anopheles darlingi, Mansonia titillans	Malaria, Oropouche Virus	The world's largest tropical wetland system, completely inundated annually by seasonal floods.
Sudd Wetland Network	South Sudan (White Nile System)	Anopheles gambiae, Culex quinquefasciatus	Malaria, West Nile Virus, Rift Valley Fever	Massive, impenetrable permanent swamps and flooded grasslands with stagnant water matrices.
Indus River Basin	South Asia (Pakistan)	Anopheles culicifacies, Culex tarsalis	Malaria, West Nile Virus	Massive, complex artificial canal irrigation networks prone to leakage and pooling in rural farmlands.
Lake Maracaibo & Catatumbo Swamps	South America (Venezuela)	Anopheles darlingi, Aedes aegypti	Malaria, Dengue Virus	Estuarine environments with permanent tropical marshes adjacent to dense coastal settlements.
Niger River Delta & Basin	West Africa (Nigeria, Mali, Niger)	Anopheles gambiae, Aedes aegypti	Malaria (P. falciparum), Lymphatic Filariasis, Yellow Fever	Extensive mangrove networks, coastal lagoons, and heavy localized industrial/urban stagnation.
Okavango Delta	Southern Africa (Botswana)	Anopheles arabiensis, Culex pipiens	Malaria, West Nile Virus	Inland river delta that floods deep into the Kalahari Desert, creating thousands of temporary warm pools.
Mississippi River Basin & Gulf Coast Swamps	North America (Southern USA - LA, MS, FL)	Culex quinquefasciatus, Aedes albopictus	West Nile Virus, Eastern Equine Encephalitis (EEE), Zika Virus	Slow-moving bayous, brackish coastal wetlands, and high-humidity urban drainage systems.
